author,stars,comment
"anisdhira97",5,"Absorption:kulit lembut dan gebu Skin Suitability:normal  Barang selamat sampai 🥰 mmg berbaloi beli time 12.12 😅Done repeat botol yg ke berapa entah 😅yg penting best guna kulit jd lembut ja😘tq seller"
"h*****9",5,"Skin Suitability:good Effectiveness:good  My daily routine.  My skin more smooth and brightened.  Recommended product 👌  Fast delivery"
"m*****8",5,"Effectiveness:good Skin Suitability:nice  Fast ship and fast delivery,received in good condition."
"r*****u",5,"Absorption:good Skin Suitability:⭐⭐⭐⭐⭐  Bought 100g, besar do tak expect, setahun guna pun tak habis guys 😔🤲 Btw loveee it, actually worth the hype. I don't have any masalah acne scars ke apa pun but fomo sbb semua org pakai moisturizer. Sesuaila ni untuk teens yang muka okay but still nak jaga jaga kulit"
"n*****3",5,"Skin Suitability:sesuai Absorption:bagus  Moisture dah selamat sampai.. packaging kemas dan mantop.. barang diterima dalam keadaan yang baik tiada kerosakan..penghantaran bagus...dah selalu beli ..kali ni tukau dengan anak.. hopefully sesuai dengan dia .saya kena habiskan Mary Kay dia . haha..harap sesuai laa...tqvm seller and courier"
"idayuzujuliaty",5,"Barang sampai dengan selamat. Memamg sekarang pakai moisture ni senang nak absorb. Ringan je texturenya. Fast delivery. Thank you seller and shopee"
"c*****4",5,"Skin Suitability:suitable for dry skin Absorption:Easily absorbed , good value for money."
"s*****a",5,"Absorption:good Skin Suitability:normal sensitive skin  I hope that the ingredients can be improved for sensitive skin but overall i pakai (baru 3 time gitu try roommates punya) okay jee mantops"
"q*****s",5,"Received in good condition, nice packaging, fast delivery, good value for money"
"r*****7",5,"Barang diterima dlm keadaan yg baik.penghantaran yg pantas.cepat meresap.tak berminyak.dan fragrance tak kuat.ok sebab tak suka  moisturiser yg kuat bau.so far satisfied.kena tgk after a few weeks utk tgk result.harap skin barrier restore.anyway thanks seller dan shopee express"
"l*****4",5,"Penghantaran yang sangat pantas, order 25/11 sampai 26/11 ke sarawak"
"s*****l",5,"Absorption:GREAT Skin Suitability:Sensitive skin  Simple, comfortable, affordable. Shipped in a bubble wrap. TQ SELLER"
"a*****k",5,"Skin Suitability:Combination Absorption:Fast absorption  Dah beli banyak kali sebab ini je produk yang sesuai dengan kulit. Penyerapan yang cepat dekat kulit dan tak melekit. Boleh tahan dalam 2 bulan."
